content,date,location,like_count,source,total_media_shared,retweet_count,month_year,clearcontent
"The Chinese government is maintaining that there is no evidence of person-to-person transmission - I am still cautious here - given that we just woke up to the news of what this agent is, this question can now be more firmly addressed. #Wuhan #pneumonia #Coronavirus 2/",2020-01-08,"Maine, USA",11,Twitter Web App,0,2,2020-01,the chinese government is maintaining that there is no evidence of persontoperson transmission i am still cautious here given that we just woke up to the news of what this agent is this question can now be more firmly addressed wuhan pneumonia coronavirus 2
"The cluster of unidentified #pneumonia cases in #Wuhan #China have been associated with a novel #Coronavirus. This is the family of viruses that the agents of #SARS and #MERS belong to, but it is a new, unique virus. It does not yet have a name, but surely will soon. 1/",2020-01-08,"Maine, USA",37,Twitter Web App,0,29,2020-01,the cluster of unidentified pneumonia cases in wuhan china have been associated with a novel coronavirus this is the family of viruses that the agents of sars and mers belong to but it is a new unique virus it does not yet have a name but surely will soon 1
"The recovery of a new #coronavirus from #Wuhan #pneumonia patients does not mean this outbreak is over. Not by a long shot (or chalk, if you are British). I've updated my today story with important observations from @PeterDaszak. https://t.co/VlZ4k3Zzxo",2020-01-09,"Boston, MA",65,Twitter Web App,0,60,2020-01,the recovery of a new coronavirus from wuhan pneumonia patients does not mean this outbreak is over not by a long shot or chalk if you are british ive updated my today story with important observations from peterdaszak
"Protect yourself &amp; reduce risk from #coronavirus infection:
👏🏽Hand hygiene
🤧Cover mouth &amp; nose when coughing &amp; sneezing
🥩Thoroughly cook meat &amp; eggs 
🌡Avoid close contact with anyone with respiratory illness
❌ Avoid close contact with wild or live farm animals https://t.co/PVvMsPSMnU",2020-01-09,"Geneva, Switzerland",181,Twitter for iPhone,1,171,2020-01,protect yourself amp reduce risk from coronavirus infection hand hygiene cover mouth amp nose when coughing amp sneezing thoroughly cook meat amp eggs avoid close contact with anyone with respiratory illness avoid close contact with wild or live farm animals
"As surveillance improves around the world, more coronaviruses are likely to be identified.

#coronavirus https://t.co/jsGXvEwOnM",2020-01-09,"Geneva, Switzerland",84,Twitter for iPhone,1,46,2020-01,as surveillance improves around the world more coronaviruses are likely to be identified coronavirus
"Novel coronaviruses emerge periodically, as we have seen. SARS emerged in 2002 and MERS emerged in 2012.
Several known coronaviruses are currently circulating in animals that have not yet infected humans.

#coronavirus https://t.co/7feYcQHUEW",2020-01-09,"Geneva, Switzerland",83,Twitter for iPhone,1,58,2020-01,novel coronaviruses emerge periodically as we have seen sars emerged in 2002 and mers emerged in 2012 several known coronaviruses are currently circulating in animals that have not yet infected humans coronavirus
A novel #coronavirus is a new strain of the virus that has not been previously identified in humans https://t.co/G0Os4ds9cv,2020-01-09,"Geneva, Switzerland",87,Twitter for iPhone,1,61,2020-01,a novel coronavirus is a new strain of the virus that has not been previously identified in humans
Chinese researchers identify possible cause of pneumonia outbreak https://t.co/qbKahjZGRL #coronavirus,2020-01-09,"Washington, D.C.",0,TweetDeck,0,1,2020-01,chinese researchers identify possible cause of pneumonia outbreak coronavirus
"Dozens of #pneumonia cases in China tied to new #coronavirus, report says https://t.co/hxYVfQZ8ha https://t.co/JKsG6q8r2o",2020-01-09,"Honolulu, Hawaii",0,Sendible,1,0,2020-01,dozens of pneumonia cases in china tied to new coronavirus report says
"Some coronaviruses cause less-severe disease, some more severe. Some transmit easily from person to person, while others don’t.

#coronavirus https://t.co/zQpquyKEiX",2020-01-09,"Geneva, Switzerland",79,Twitter for iPhone,1,42,2020-01,some coronaviruses cause lesssevere disease some more severe some transmit easily from person to person while others dont coronavirus
An emerging #coronavirus infection cluster in China. Pneumonia of Unknown Cause in China - Watch - Level 1 ⁦@CDCgov⁩ #infectiousdiseases  https://t.co/x5h9Q0lctL,2020-01-09,"SFO/MIA (MSP, BOS, LAX, IAH)",3,Twitter for iPhone,0,0,2020-01,an emerging coronavirus infection cluster in china pneumonia of unknown cause in china watch level 1 cdcgov infectiousdiseases
#China mystery illness is likely due to a new #coronavirus --https://t.co/pCvpnzSBaw,2020-01-09,"Boston, MA",5,Hootsuite Inc.,0,5,2020-01,china mystery illness is likely due to a new coronavirus
"Coronaviruses are a large family of viruses that are known to cause illness ranging from the common cold to more severe diseases, such as Middle East Respiratory Syndrome (MERS) and Severe Acute Respiratory Syndrome (SARS)

#coronavirus https://t.co/87h5HE32TL",2020-01-09,"Geneva, Switzerland",694,Twitter Web App,1,448,2020-01,coronaviruses are a large family of viruses that are known to cause illness ranging from the common cold to more severe diseases such as middle east respiratory syndrome mers and severe acute respiratory syndrome sars coronavirus
"A new #coronavirus may be the pathogen causing China’s mysterious #pneumonia cases, @WHO announced on Wednesday. @HelenBranswell reports. https://t.co/WAgeAlLVau",2020-01-09,"Arlington, VA",25,Twitter Web App,0,18,2020-01,a new coronavirus may be the pathogen causing chinas mysterious pneumonia cases who announced on wednesday helenbranswell reports
"Middle East Respiratory Syndrome #Coronavirus Transmission
https://t.co/tqt4nicGHl #MERS",2020-01-09,,0,Twitter Web App,0,0,2020-01,middle east respiratory syndrome coronavirus transmission mers
As always a great piece by @HelenBranswell on the novel #coronavirus Important statement by R. Baric - make the sequence available to the rest of the world immediately so testing can be implemented! #emerginviruses,2020-01-09,"Geneva, Switzerland",5,Twitter Web App,0,2,2020-01,as always a great piece by helenbranswell on the novel coronavirus important statement by r baric make the sequence available to the rest of the world immediately so testing can be implemented emerginviruses
"That outbreak of pneumonia in #Wuhan China? 

Looks like it may be caused by a novel #coronavirus. 

So what's that? 

Here's what you need to know... 1/6
 
https://t.co/OGnPsadIjp",2020-01-09,"Vienna, Austria",41,Twitter Web App,0,32,2020-01,that outbreak of pneumonia in wuhan china looks like it may be caused by a novel coronavirus so whats that heres what you need to know 16
2. Key questions now: How did the new #coronavirus jump to people? From what species? How broadly is it found in that species? And are animals infected with it found in other markets? Can't assume that one seafood market would be the the sole transmission location. #Wuhan,2020-01-09,"Boston, MA",29,Twitter Web App,0,14,2020-01,2 key questions now how did the new coronavirus jump to people from what species how broadly is it found in that species and are animals infected with it found in other markets cant assume that one seafood market would be the the sole transmission location wuhan
1. The world has been waiting for more word from #China about the #pneumonia cluster at #Wuhan; a bunch came out late last night. Official confirmation they've sequenced a full #coronavirus (!!!) &amp; found evidence of it in 15 people. https://t.co/VlZ4k3Zzxo,2020-01-09,"Boston, MA",107,Twitter Web App,0,91,2020-01,1 the world has been waiting for more word from china about the pneumonia cluster at wuhan a bunch came out late last night official confirmation theyve sequenced a full coronavirus amp found evidence of it in 15 people
"Lead scientist Xu Jianguo told the official Xinhua news agency that experts had ""preliminarily determined"" a new type of #coronavirus was behind the outbreak, first confirmed on December 31 in #Wuhan...
#China #Virus 

https://t.co/nUc90yAgEO",2020-01-09,Qatar,0,TweetDeck,0,0,2020-01,lead scientist xu jianguo told the official xinhua news agency that experts had preliminarily determined a new type of coronavirus was behind the outbreak first confirmed on december 31 in wuhan china virus
"Chinese authorities have made a preliminary determination of a novel #coronavirus, identified in a hospitalized person with pneumonia in Wuhan. Chinese investigators conducted gene sequencing of the virus, using an isolate from one positive patient sample. https://t.co/q0jjTrbrwi",2020-01-09,"Manila, Philippines",22,Twitter for Android,0,16,2020-01,chinese authorities have made a preliminary determination of a novel coronavirus identified in a hospitalized person with pneumonia in wuhan chinese investigators conducted gene sequencing of the virus using an isolate from one positive patient sample
WURS-CoV is a terrible name but reassuring no fatal cases so far! #coronavirus,2020-01-09,"Geneva, Switzerland",3,Twitter Web App,0,1,2020-01,wurscov is a terrible name but reassuring no fatal cases so far coronavirus
"A lot of work to do with this: diagnostic test development (and make it internationally available asap!), search for the reservoir, receptor use, cellular target, affected body sites (upper/lower respiratory tract, shedding in urine, stool?), effectiveness of drugs...#coronavirus",2020-01-09,"Geneva, Switzerland",6,Twitter Web App,0,4,2020-01,a lot of work to do with this diagnostic test development and make it internationally available asap search for the reservoir receptor use cellular target affected body sites upperlower respiratory tract shedding in urine stool effectiveness of drugscoronavirus
"Chinese authorities have made a preliminary determination of a novel (new) #coronavirus as the cause of the current cluster of pneumonia cases in Wuhan, #China. Read more here ⬇️",2020-01-09,Manila City,44,Twitter for iPhone,0,23,2020-01,chinese authorities have made a preliminary determination of a novel new coronavirus as the cause of the current cluster of pneumonia cases in wuhan china read more here
Chinese authorities have made a preliminary determination of the cause of #pneumonia in Wuhan as a novel (new) #coronavirus. @WHO continues to monitor the situation closely and is ready to support #China to investigate and respond to this outbreak.  https://t.co/0zR6iZWrcm (1/7),2020-01-09,"Manila, Philippines",159,Twitter Web App,0,169,2020-01,chinese authorities have made a preliminary determination of the cause of pneumonia in wuhan as a novel new coronavirus who continues to monitor the situation closely and is ready to support china to investigate and respond to this outbreak 17
"Novel #coronavirus in #Wuhan #OfficiallyOfficial
https://t.co/bsTwXngwmE",2020-01-09,"Maine, USA",1,Twitter Web App,0,1,2020-01,novel coronavirus in wuhan officiallyofficial
Important @CDCgov advisory regarding #WuHanPneumonia that has been confirmed to be due to a new #coronavirus and per reports by #CCTV isolated in 15 patients by nucleic acid testing. Would remain on alert given the upcoming #ChineseNewYear,2020-01-09,Global Citizen ,0,Twitter for iPhone,0,0,2020-01,important cdcgov advisory regarding wuhanpneumonia that has been confirmed to be due to a new coronavirus and per reports by cctv isolated in 15 patients by nucleic acid testing would remain on alert given the upcoming chinesenewyear
Right before #China biggest travel time of the year...😬 Chinese report says illnesses may be from new #coronavirus @AP https://t.co/h2x7MDEtxI,2020-01-09,China,8,Twitter for iPhone,0,8,2020-01,right before china biggest travel time of the year chinese report says illnesses may be from new coronavirus ap
My friend @TheMenacheryLab and I got some airtime today. Thanks @CIDRAP for the opportunity to share our thoughts. #WuhanSARS #coronavirus #academiclife #zoonoses,2020-01-09,"Chapel Hill, NC",34,Twitter for iPhone,0,9,2020-01,my friend themenacherylab and i got some airtime today thanks cidrap for the opportunity to share our thoughts wuhansars coronavirus academiclife zoonoses
People listen when @MattFrieman and @Baric_Lab talk.  My boys are wicked smart. Nice piece. #WuhanSARS #coronavirus #sars #mers #emergingvirus #zoonoses,2020-01-09,"Chapel Hill, NC",8,Twitter for iPhone,0,2,2020-01,people listen when mattfrieman and bariclab talk my boys are wicked smart nice piece wuhansars coronavirus sars mers emergingvirus zoonoses
Apparently reported on Chinese television the #WuHanPneumonia is a new #coronavirus that was isolated in 15 patients and detected by nucleic acid and seen under electron microscope. #OneHealth #onehealthmonth #globalhealth,2020-01-09,Global Citizen ,2,Twitter for iPhone,0,0,2020-01,apparently reported on chinese television the wuhanpneumonia is a new coronavirus that was isolated in 15 patients and detected by nucleic acid and seen under electron microscope onehealth onehealthmonth globalhealth
"#UPDATE Preliminary research shows that the viral #pneumonia of unknown causes in Wuhan, #China probably comes from a new strain of #coronavirus. It’s different from the coronaviruses behind #SARS and #MERS and requires further scientific study. https://t.co/Fm6GUrMZ1f https://t.co/FlHCfcY1kO",2020-01-09,"Shanghai, China",0,TweetDeck,1,1,2020-01,update preliminary research shows that the viral pneumonia of unknown causes in wuhan china probably comes from a new strain of coronavirus its different from the coronaviruses behind sars and mers and requires further scientific study
China’s Mystery Pneumonia Illness May Be Linked to New #CoronaVirus ⁦@business⁩  https://t.co/PrsYggOtzA,2020-01-09,Toronto,3,Twitter for iPhone,0,4,2020-01,chinas mystery pneumonia illness may be linked to new coronavirus business
"Wuhan pneumonia update. 41 cases, one death. Surprisingly, most are apparently still in care. #coronavirus https://t.co/QHKOuMnZYn",2020-01-10,,8,TweetDeck,0,1,2020-01,wuhan pneumonia update 41 cases one death surprisingly most are apparently still in care coronavirus
"NEWS: NIAID-funded #MERS #coronavirus study in mice shows promise of anti-viral drug #remdesivir as treatment; NIAID scientists also exploring remdesivir as a treatment for Ebola, Nipah and other viruses. https://t.co/1R94W5syV1 https://t.co/TfWmLgovFZ",2020-01-10,"Bethesda, MD",20,Twitter Web App,1,14,2020-01,news niaidfunded mers coronavirus study in mice shows promise of antiviral drug remdesivir as treatment niaid scientists also exploring remdesivir as a treatment for ebola nipah and other viruses
"WHO does not recommend any specific health measures for travellers to and from Wuhan,#China🇨🇳

It is generally considered that entry screening offers little benefit, while requiring considerable resources https://t.co/UU8IgFvjpn #coronavirus",2020-01-10,"Geneva, Switzerland",316,Twitter for iPhone,0,334,2020-01,who does not recommend any specific health measures for travellers to and from wuhanchina it is generally considered that entry screening offers little benefit while requiring considerable resources coronavirus
"WHO advice for international travel and trade in relation to the outbreak of pneumonia caused by a new #coronavirus in Wuhan, #China🇨🇳 https://t.co/UU8IgFvjpn https://t.co/D13Xv9Yrt4",2020-01-10,"Geneva, Switzerland",95,Twitter for iPhone,1,77,2020-01,who advice for international travel and trade in relation to the outbreak of pneumonia caused by a new coronavirus in wuhan china
"Q&amp;A on coronaviruses https://t.co/PKzKaO2yfK

#coronavirus https://t.co/apeUtPvyan",2020-01-10,"Geneva, Switzerland",72,Twitter for iPhone,1,35,2020-01,qampa on coronaviruses coronavirus
Nice news piece on our @NatureComms paper by @UNCpublichealth. Thanks for the support! We♥️ coronavirus #rendezvous #antivirals #sars #mers #coronavirus,2020-01-10,"Chapel Hill, NC",11,Twitter for iPhone,0,5,2020-01,nice news piece on our naturecomms paper by uncpublichealth thanks for the support we coronavirus rendezvous antivirals sars mers coronavirus
"Meanwhile reference labs like ours too @gcevd are left fiddling with Pan-CoV assays of unknown sensitivity &amp; specifity for the new #coronavirus, requests for cases will come for sure, and all this flu &amp; common cold season, not cool! #emergingviruses #preparedness",2020-01-10,"Geneva, Switzerland",9,Twitter for iPhone,0,3,2020-01,meanwhile reference labs like ours too gcevd are left fiddling with pancov assays of unknown sensitivity amp specifity for the new coronavirus requests for cases will come for sure and all this flu amp common cold season not cool emergingviruses preparedness
"Completely agree! Scientific publications and public health should not go in opposite directions. High quality publishing &amp; immediate release of sequence should not be a contradiction, quite the opposite #coronavirus",2020-01-10,"Geneva, Switzerland",9,Twitter for iPhone,0,2,2020-01,completely agree scientific publications and public health should not go in opposite directions high quality publishing amp immediate release of sequence should not be a contradiction quite the opposite coronavirus
"@JeremyFarrar @AmeshAA There is still a possibility of mild cases that go undetected, especially in a background of other respiratory viruses. Without a diagnostic test, the real burden of disease is hard to tell #coronavirus #emergingviruses",2020-01-10,"Geneva, Switzerland",0,Twitter for iPhone,0,0,2020-01,jeremyfarrar ameshaa there is still a possibility of mild cases that go undetected especially in a background of other respiratory viruses without a diagnostic test the real burden of disease is hard to tell coronavirus emergingviruses
The story behind our @Baric_Lab  @DenisonLab latest emerging coronavirus antiviral paper @NatureComms. Cool pics. A few jokes. Take a look. @UNCpublichealth @UNCResearch  #SARS #MERS #WuhanPneumonia #naturecomms #emergingvirus #coronavirus #behindthepaper  https://t.co/uYkY5k30Df,2020-01-10,"Chapel Hill, NC",17,Twitter Web App,0,6,2020-01,the story behind our bariclab denisonlab latest emerging coronavirus antiviral paper naturecomms cool pics a few jokes take a look uncpublichealth uncresearch sars mers wuhanpneumonia naturecomms emergingvirus coronavirus behindthepaper
Our timely new pub on a broad-spectrum antiviral for emerging coronavirus. Took a village @DenisonLab @Baric_Lab @SarahRLeist @GileadSciences. Open access. @UNCpublichealth @UNCResearch #coronavirus #WuhanPneumonia #SARS #MERS https://t.co/ZcWUKDPhwr,2020-01-10,"Chapel Hill, NC",149,Twitter Web App,0,67,2020-01,our timely new pub on a broadspectrum antiviral for emerging coronavirus took a village denisonlab bariclab sarahrleist gileadsciences open access uncpublichealth uncresearch coronavirus wuhanpneumonia sars mers
"Really key point on the #Wuhan outbreak: we don't know for sure the new #coronavirus is the cause

https://t.co/7ozgQj8prb from @HelenBranswell",2020-01-10,"Vienna, Austria",4,Twitter Web App,0,0,2020-01,really key point on the wuhan outbreak we dont know for sure the new coronavirus is the cause from helenbranswell
"@BatResearch @MarcelAMller @vmcorman @ChariteBerlin @kakape Yes but while designing primers you can still already share - others design assays too, like we did with #MERS #coronavirus @vmcorman @MarcelAMller @Virology_Bonn 7 days from first report to assay https://t.co/sOSJuegBHR #emergingviruses",2020-01-10,"Geneva, Switzerland",6,Twitter for iPhone,0,1,2020-01,batresearch marcelamller vmcorman chariteberlin kakape yes but while designing primers you can still already share others design assays too like we did with mers coronavirus vmcorman marcelamller virologybonn 7 days from first report to assay emergingviruses
"Protect yourself &amp; reduce risk from #coronavirus infection:
👏🏽Hand hygiene
🤧Cover mouth &amp; nose when coughing &amp; sneezing
🥩Thoroughly cook meat &amp; eggs 
🌡Avoid close contact with anyone with respiratory illness
❌ Avoid close contact with wild or live farm animals https://t.co/3YwVXD2lpf",2020-01-10,"Manila, Philippines",55,Twitter Web App,1,48,2020-01,protect yourself amp reduce risk from coronavirus infection hand hygiene cover mouth amp nose when coughing amp sneezing thoroughly cook meat amp eggs avoid close contact with anyone with respiratory illness avoid close contact with wild or live farm animals
"As someone who has lived, studied, and worked in China over the past two decades, some of the perspectives on #Wuhan #pneumonia #coronavirus are so tiring: 2002 is not 2020. 2016 is also not 2020.",2020-01-10,,16,Twitter for iPhone,0,3,2020-01,as someone who has lived studied and worked in china over the past two decades some of the perspectives on wuhan pneumonia coronavirus are so tiring 2002 is not 2020 2016 is also not 2020
"More #2019-nCoV sequences will be available soon from Chinese authorities 

#coronavirus",2020-01-11,"Geneva, Switzerland",8,Twitter for iPhone,0,2,2020-01,more 2019ncov sequences will be available soon from chinese authorities coronavirus
"A new virus genetically sequenced in a few weeks &amp; all data shared with the international community at record speed. Great leadership from #China, demonstrating that distant are the days of #SARS. However, the vector for this #coronavirus is yet to be found.Fascinating...&amp; scary!",2020-01-11,"Geneva, Switzerland",10,Twitter for iPhone,0,2,2020-01,a new virus genetically sequenced in a few weeks amp all data shared with the international community at record speed great leadership from china demonstrating that distant are the days of sars however the vector for this coronavirus is yet to be foundfascinatingamp scary
"@WHOWPRO @DrTedros Whole genome sequences for the novel #coronavirus (2019-nCoV) from the Chinese🇨🇳 authorities were shared with WHO and have also been submitted by Chinese authorities to the GISAID platform so that they can be accessed by public health authorities, laboratories and researchers. https://t.co/wmtGfI4dWl",2020-01-11,"Geneva, Switzerland",108,Twitter Web App,1,72,2020-01,whowpro drtedros whole genome sequences for the novel coronavirus 2019ncov from the chinese authorities were shared with who and have also been submitted by chinese authorities to the gisaid platform so that they can be accessed by public health authorities laboratories and researchers
Retweet if you are in the lab running assays at the moment #coronavirus #emergingviruses #lovevirology 😉,2020-01-11,"Geneva, Switzerland",2,Twitter for iPhone,0,2,2020-01,retweet if you are in the lab running assays at the moment coronavirus emergingviruses lovevirology
"Looks like we'll be getting a better handle of the nature of that #coronavirus that's been causing some serious consternation lately.

https://t.co/Tf20Cty1t7",2020-01-11,YEG/Canada,1,Twitter for Android,0,1,2020-01,looks like well be getting a better handle of the nature of that coronavirus thats been causing some serious consternation lately
"@WHOWPRO @DrTedros WHO encourages all countries to continue preparedness activities, and has issued interim guidance on how to do this.

#coronavirus (2019-nCoV)

https://t.co/mGG9fnvaSF",2020-01-11,"Geneva, Switzerland",79,Twitter Web App,0,44,2020-01,whowpro drtedros who encourages all countries to continue preparedness activities and has issued interim guidance on how to do this coronavirus 2019ncov
"Today @WHO received genetic sequences for the novel #coronavirus (2019-nCoV) from Chinese authorities.
I sincerely thank all the Chinese scientists and health workers who have been working around the clock, for their commitment to keeping #China🇨🇳 and the world safe. https://t.co/4Vtc6RaY9m",2020-01-11,"Geneva, Switzerland",190,Twitter for iPhone,1,78,2020-01,today who received genetic sequences for the novel coronavirus 2019ncov from chinese authorities i sincerely thank all the chinese scientists and health workers who have been working around the clock for their commitment to keeping china and the world safe
"I have spoken yesterday with my brother, #China🇨🇳 Minister of Health Ma Xiaowei. I appreciate his commitment and work and the Chinese government’s leadership in global public health by sharing information on this novel #coronavirus (2019-nC0V) in a timely manner.",2020-01-11,"Geneva, Switzerland",173,Twitter for iPhone,0,44,2020-01,i have spoken yesterday with my brother china minister of health ma xiaowei i appreciate his commitment and work and the chinese governments leadership in global public health by sharing information on this novel coronavirus 2019nc0v in a timely manner
"@WHOWPRO @DrTedros WHO thanks the Chinese authorities for their commitment to sharing information on the novel #coronavirus (2019-nC0V) as they continue intensive surveillance and follow-up measures, including environmental investigations in #China🇨🇳 https://t.co/ZOTCqsGTCr",2020-01-11,"Geneva, Switzerland",118,Twitter Web App,1,55,2020-01,whowpro drtedros who thanks the chinese authorities for their commitment to sharing information on the novel coronavirus 2019nc0v as they continue intensive surveillance and followup measures including environmental investigations in china
"@WHOWPRO @DrTedros Genetic sequences of the novel #coronavirus (2019-nCoV) will allow countries to develop specific diagnostic kits, quickly identify and then care for anyone infected, and ensure better health outcomes and containment of the virus. https://t.co/5weynFLuYQ",2020-01-11,"Geneva, Switzerland",132,Twitter Web App,1,72,2020-01,whowpro drtedros genetic sequences of the novel coronavirus 2019ncov will allow countries to develop specific diagnostic kits quickly identify and then care for anyone infected and ensure better health outcomes and containment of the virus
"And there it is -- a @WHO call for transparency and data-sharing concerning #WuHanPneumonia #coronavirus .

If it turns out that the world has lacked access to potentially life-saving viral info because a clique of scientists sat on it, pending prestigious publication, whoa!😡🤬",2020-01-11,"New York, NY",13,Twitter Web App,0,11,2020-01,and there it is a who call for transparency and datasharing concerning wuhanpneumonia coronavirus if it turns out that the world has lacked access to potentially lifesaving viral info because a clique of scientists sat on it pending prestigious publication whoa
BREAKING: WHO has received the genetic sequences for the novel #coronavirus (2019-nCoV) from the Chinese authorities. We expect them to be made publicly available as soon as possible. https://t.co/h1w7A0jBm2,2020-01-11,"Geneva, Switzerland",1186,Twitter Web App,1,717,2020-01,breaking who has received the genetic sequences for the novel coronavirus 2019ncov from the chinese authorities we expect them to be made publicly available as soon as possible
"RE: #Wuhan #coronavirus cluster — I totally agree with this assessment. IMHO a month’s worth of onset dates indicates prolonged exposure from a single point, human-to-human transmission, and/or multiple disparate points of exposure.",2020-01-11,"Boston, MA, USA",2,Twitter for iPhone,0,4,2020-01,re wuhan coronavirus cluster i totally agree with this assessment imho a months worth of onset dates indicates prolonged exposure from a single point humantohuman transmission andor multiple disparate points of exposure
"Man infected with mystery #virus in #China dies after outbreak
#coronavirus  https://t.co/uMIPdwz1oJ",2020-01-11,Al Hilal - C Ring Road,0,GT_Backend,0,1,2020-01,man infected with mystery virus in china dies after outbreak coronavirus
"All of the WHO interim guidance and technical documents on novel #coronavirus will be updated as needed.

👉🏼 https://t.co/PuKGbQlUiV https://t.co/yiPuKwNMLb",2020-01-11,"Geneva, Switzerland",62,Twitter for iPhone,1,44,2020-01,all of the who interim guidance and technical documents on novel coronavirus will be updated as needed
"NEW: 🧪 WHO draft list of supplies needed for laboratories and health centers managing a novel #coronavirus. 

👉🏼 https://t.co/PuKGbQlUiV (under ‘Technical documents’) https://t.co/o4zY6L0dxP",2020-01-11,"Geneva, Switzerland",57,Twitter for iPhone,1,33,2020-01,new who draft list of supplies needed for laboratories and health centers managing a novel coronavirus under technical documents
Interim guidance and other information issued by @WHO for countries to manage a novel #coronavirus. We will continue to update as more info received.,2020-01-11,"Geneva, Switzerland",63,Twitter for iPhone,0,41,2020-01,interim guidance and other information issued by who for countries to manage a novel coronavirus we will continue to update as more info received
"NEW: 📋 WHO tool for national authorities to review their capacity to detect and respond to a novel #coronavirus

👉🏼 https://t.co/PuKGbQlUiV (under ‘Technical documents’) https://t.co/O1W88lUKCJ",2020-01-11,"Geneva, Switzerland",61,Twitter for iPhone,1,37,2020-01,new who tool for national authorities to review their capacity to detect and respond to a novel coronavirus under technical documents
"Is this the first death related to Pneumonia of Unknown Etiology in Wuhan? 

There are still tons of unanswered questions, and we need to hear from official sources.

https://t.co/k7IdQCFrwo

#Wuhan #IDtwitter #coronavirus",2020-01-11,University of Toronto,4,Twitter Web App,0,2,2020-01,is this the first death related to pneumonia of unknown etiology in wuhan there are still tons of unanswered questions and we need to hear from official sources wuhan idtwitter coronavirus
